"l_office_no","l_office_name","gu_name","r_holder_no","x_value","y_value"
1408,먹골역 6번출구 앞,중랑구,10,37.6107,127.077
1405,망우역 1번출구,중랑구,10,37.5991,127.093
1404,동일로 지하차도,중랑구,10,37.5953,127.08
1447,면목역 3번출구,중랑구,15,37.5889,127.087
1433,중화역 2번출구,중랑구,10,37.6021,127.08
1437,늘푸른공원 앞,중랑구,15,37.5834,127.08
1444,면목4치안센터,중랑구,10,37.574,127.081
1450,화랑대역 7번출구,중랑구,10,37.6196,127.085
1429,장안중학교,중랑구,15,37.6,127.08
1434,홈플러스 면목동점,중랑구,15,37.5799,127.082
1416,상봉역 3번출구,중랑구,10,37.5952,127.086
1425,용마문화복지센터,중랑구,10,37.5875,127.096
1411,상봉시장앞 교차로 한성빌딩 앞,중랑구,10,37.5925,127.087
1407,먹골역 1번출구 뒤,중랑구,10,37.6115,127.078
1421,신내역 4번출구,중랑구,20,37.6125,127.103
1418,새솔초등학교,중랑구,15,37.618,127.111
1412,면목초등학교,중랑구,10,37.591,127.087
1457,동원사거리,중랑구,10,37.5898,127.093
1455,상봉역 2번 출구,중랑구,10,37.5963,127.086
1446,중랑전화국 교차로,중랑구,10,37.5913,127.08
1452,겸재교 진입부,중랑구,15,37.5857,127.075
1402,금란주차장 앞,중랑구,10,37.6001,127.102
1431,중랑구청 사거리,중랑구,10,37.6065,127.095
1436,영풍마드레빌,중랑구,15,37.6059,127.101
1443,구립망우청소년독서실,중랑구,10,37.5955,127.099
1449,상봉역 1번출구,중랑구,15,37.5966,127.086
1428,원묵고등학교,중랑구,10,37.616,127.086
1426,면목도시개발아파트 1동 앞,중랑구,15,37.5736,127.087
1424,양원역 2번출구,중랑구,10,37.6063,127.108
1420,신내어울공원 앞,중랑구,15,37.6142,127.097
1440,하나은행 면목지점,중랑구,10,37.5864,127.08
1454,한국전력공사(동대문 중랑지사),중랑구,10,37.6073,127.079
1459,용마한신아파트사거리,중랑구,10,37.5803,127.093
1456,상아빌딩(우림시장 교차로),중랑구,10,37.5951,127.1
